lot_no,grade,standard_code,special_metric,value,source_status
6812B,130,325,gloss,77.146,imputed
6812B,130,325,chroma,29.785,imputed
6812B,130,325,hue,31.76,imputed
6812B,130,325,special_4,87.678,imputed
6812B,130,325,special_5,100.0,imputed
6528A,130A,3249B,gloss,80.37,imputed
6528A,130A,3249B,chroma,31.409,imputed
6528A,130A,3249B,hue,33.071,imputed
6528A,130A,3249B,special_4,87.339,imputed
6528A,130A,3249B,special_5,100.0,imputed
6802A,130A,3249B,gloss,80.113,imputed
6802A,130A,3249B,chroma,31.624,imputed
6802A,130A,3249B,hue,32.236,imputed
6802A,130A,3249B,special_4,87.438,imputed
6802A,130A,3249B,special_5,100.0,imputed
6802B,130A,3249B,gloss,78.373,imputed
6802B,130A,3249B,chroma,30.607,imputed
6802B,130A,3249B,hue,31.876,imputed
6802B,130A,3249B,special_4,88.191,imputed
6802B,130A,3249B,special_5,100.0,imputed
6803A,130A,3249B,gloss,80.083,imputed
6803A,130A,3249B,chroma,31.132,imputed
6803A,130A,3249B,hue,32.07,imputed
6803A,130A,3249B,special_4,87.744,imputed
6803A,130A,3249B,special_5,100.0,imputed
6719N-D,130A,3249B,gloss,74.88,imputed
6719N-D,130A,3249B,chroma,29.581,imputed
6719N-D,130A,3249B,hue,31.278,imputed
6719N-D,130A,3249B,special_4,84.954,imputed
6719N-D,130A,3249B,special_5,100.0,imputed
6778N-B,130,325,gloss,79.478,imputed
6778N-B,130,325,chroma,30.139,imputed
6778N-B,130,325,hue,32.689,imputed
6778N-B,130,325,special_4,85.736,imputed
6778N-B,130,325,special_5,100.0,imputed
6822N-A,130A,3249B,gloss,78.081,imputed
6822N-A,130A,3249B,chroma,30.158,imputed
6822N-A,130A,3249B,hue,32.006,imputed
6822N-A,130A,3249B,special_4,86.713,imputed
6822N-A,130A,3249B,special_5,100.0,imputed
6822N-C,130,325,gloss,80.467,imputed
6822N-C,130,325,chroma,31.361,imputed
6822N-C,130,325,hue,33.005,imputed
6822N-C,130,325,special_4,87.08,imputed
6822N-C,130,325,special_5,100.0,imputed
6822N-D,130,325,gloss,77.907,imputed
6822N-D,130,325,chroma,30.187,imputed
6822N-D,130,325,hue,33.089,imputed
6822N-D,130,325,special_4,86.568,imputed
6822N-D,130,325,special_5,100.0,imputed
6823N-A,130,325,gloss,76.915,imputed
6823N-A,130,325,chroma,30.077,imputed
6823N-A,130,325,hue,32.975,imputed
6823N-A,130,325,special_4,86.043,imputed
6823N-A,130,325,special_5,100.0,imputed
6823N-B,130A,3249B,gloss,77.168,imputed
6823N-B,130A,3249B,chroma,30.121,imputed
6823N-B,130A,3249B,hue,32.188,imputed
6823N-B,130A,3249B,special_4,86.292,imputed
6823N-B,130A,3249B,special_5,100.0,imputed
6823N-C,130,325,gloss,79.617,imputed
6823N-C,130,325,chroma,31.323,imputed
6823N-C,130,325,hue,33.091,imputed
6823N-C,130,325,special_4,86.719,imputed
6823N-C,130,325,special_5,100.0,imputed
6823N-D,130,325,gloss,79.938,imputed
6823N-D,130,325,chroma,31.504,imputed
6823N-D,130,325,hue,33.067,imputed
6823N-D,130,325,special_4,86.778,imputed
6823N-D,130,325,special_5,100.0,imputed
6824N-A,130,325,gloss,78.761,imputed
6824N-A,130,325,chroma,31.219,imputed
6824N-A,130,325,hue,32.834,imputed
6824N-A,130,325,special_4,86.637,imputed
6824N-A,130,325,special_5,100.0,imputed
6826N-D,130,325,gloss,80.054,imputed
6826N-D,130,325,chroma,30.261,imputed
6826N-D,130,325,hue,32.285,imputed
6826N-D,130,325,special_4,87.588,imputed
6826N-D,130,325,special_5,100.0,imputed
6827N-A,130,325,gloss,79.938,imputed
6827N-A,130,325,chroma,30.332,imputed
6827N-A,130,325,hue,32.686,imputed
6827N-A,130,325,special_4,87.507,imputed
6827N-A,130,325,special_5,100.0,imputed
6828N-A,130,325,gloss,73.687,imputed
6828N-A,130,325,chroma,32.584,imputed
6828N-A,130,325,hue,33.336,imputed
6828N-A,130,325,special_4,85.817,imputed
6828N-A,130,325,special_5,100.0,imputed
6828N-C,130,325,gloss,80.341,imputed
6828N-C,130,325,chroma,30.733,imputed
6828N-C,130,325,hue,33.04,imputed
6828N-C,130,325,special_4,86.487,imputed
6828N-C,130,325,special_5,100.0,imputed
6828N-D,130,325,gloss,78.348,imputed
6828N-D,130,325,chroma,31.416,imputed
6828N-D,130,325,hue,32.871,imputed
6828N-D,130,325,special_4,86.293,imputed
6828N-D,130,325,special_5,100.0,imputed
6127A,130,325,gloss,78.322,imputed
6127A,130,325,chroma,30.04,imputed
6127A,130,325,hue,32.625,imputed
6127A,130,325,special_4,87.067,imputed
6127A,130,325,special_5,100.0,imputed
6566A,130,325,gloss,82.187,imputed
6566A,130,325,chroma,30.364,imputed
6566A,130,325,hue,32.152,imputed
6566A,130,325,special_4,86.654,imputed
6566A,130,325,special_5,100.0,imputed
6770A,130,325,gloss,76.991,imputed
6770A,130,325,chroma,31.432,imputed
6770A,130,325,hue,33.459,imputed
6770A,130,325,special_4,86.473,imputed
6770A,130,325,special_5,100.0,imputed
6770B,130A,3249B,gloss,81.337,imputed
6770B,130A,3249B,chroma,31.745,imputed
6770B,130A,3249B,hue,32.141,imputed
6770B,130A,3249B,special_4,87.445,imputed
6770B,130A,3249B,special_5,100.0,imputed
6548A,130A,3249B,gloss,80.292,imputed
6548A,130A,3249B,chroma,31.121,imputed
6548A,130A,3249B,hue,32.237,imputed
6548A,130A,3249B,special_4,87.937,imputed
6548A,130A,3249B,special_5,100.0,imputed
6781A,130,325,gloss,78.357,imputed
6781A,130,325,chroma,31.269,imputed
6781A,130,325,hue,32.954,imputed
6781A,130,325,special_4,87.781,imputed
6781A,130,325,special_5,100.0,imputed
6781B,130,325,gloss,80.887,imputed
6781B,130,325,chroma,30.577,imputed
6781B,130,325,hue,32.517,imputed
6781B,130,325,special_4,87.654,imputed
6781B,130,325,special_5,100.0,imputed
6768A,130,325,gloss,81.326,imputed
6768A,130,325,chroma,30.574,imputed
6768A,130,325,hue,33.003,imputed
6768A,130,325,special_4,88.147,imputed
6768A,130,325,special_5,100.0,imputed
6801A,130A,3249B,gloss,78.145,imputed
6801A,130A,3249B,chroma,30.393,imputed
6801A,130A,3249B,hue,32.334,imputed
6801A,130A,3249B,special_4,86.543,imputed
6801A,130A,3249B,special_5,100.0,imputed
6801B,130A,3249B,gloss,80.41,imputed
6801B,130A,3249B,chroma,31.496,imputed
6801B,130A,3249B,hue,32.764,imputed
6801B,130A,3249B,special_4,86.212,imputed
6801B,130A,3249B,special_5,100.0,imputed
6803B,130A,3249B,gloss,80.885,imputed
6803B,130A,3249B,chroma,30.738,imputed
6803B,130A,3249B,hue,31.978,imputed
6803B,130A,3249B,special_4,87.333,imputed
6803B,130A,3249B,special_5,100.0,imputed
6832B,130A,3249B,gloss,74.586,imputed
6832B,130A,3249B,chroma,29.606,imputed
6832B,130A,3249B,hue,32.146,imputed
6832B,130A,3249B,special_4,85.185,imputed
6832B,130A,3249B,special_5,100.0,imputed
6563A,130,325,gloss,81.277,imputed
6563A,130,325,chroma,31.146,imputed
6563A,130,325,hue,32.209,imputed
6563A,130,325,special_4,86.887,imputed
6563A,130,325,special_5,100.0,imputed
6566A,130,325,gloss,82.187,imputed
6566A,130,325,chroma,30.364,imputed
6566A,130,325,hue,32.152,imputed
6566A,130,325,special_4,86.654,imputed
6566A,130,325,special_5,100.0,imputed
