product_description,color_family,grade,standard_code,application,target_method_id,target_l,target_a,target_b,target_delta_l,target_delta_a,target_delta_b,pack_size_kg,bag_count,qty_kg,qty_mt,rate_per_kg_inr,line_value_inr,inventory_match_status,source_basis,invoice_line_id,invoice_id,invoice_number,invoice_date,line_no,customer_name,fulfillment_status,outstanding_qty_mt,last_partial_at
SYNTHETIC ORANGE OXIDE 150 (4400) 25KG DCW BOPP BAG,ORANGE,150,4400,Construction,method_i_b,,,,-0.02,0.35,0.15,25,1200,30000,30.0,97,2910000,exact_supported_grade_standard,bulk inventory-shortage demo line,BULK-INV-5006-L01,BULK-INV-5006,5006,2026-04-07,1,Asian Paints Nepal,open,30.0,
SYNTHETIC ORANGE OXIDE 150 (4400) 25KG DCW BOPP BAG,ORANGE,150,4400,Cement,method_ii,,,,0.21,0.09,0.46,25,2000,50000,50.0,98,4900000,exact_supported_grade_standard,bulk inventory-shortage demo line,BULK-INV-5007-L01,BULK-INV-5007,5007,2026-04-08,1,PolyCoat Labs,open,50.0,
SYNTHETIC ORANGE OXIDE 150 (4400) 25KG DCW BOPP BAG,ORANGE,150,4400,Construction,,,,,-0.27,-0.42,0.34,25,3200,80000,80.0,97,7760000,exact_supported_grade_standard,bulk inventory-shortage demo line,BULK-INV-5007-L02,BULK-INV-5007,5007,2026-04-08,2,PolyCoat Labs,open,80.0,
SYNTHETIC ORANGE OXIDE 155 (4400) 25KG DCW BOPP BAG,ORANGE,155,4400,Construction,method_ii,,,,0.42,0.0,-0.01,25,320,8000,8.0,99,792000,exact_supported_grade_standard,bulk inventory-shortage demo line,BULK-INV-5008-L01,BULK-INV-5008,5008,2026-04-09,1,ColorVista,open,8.0,
SYNTHETIC ORANGE OXIDE 155 (4400) 25KG DCW BOPP BAG,ORANGE,155,4400,Cement,"method_i_a,method_i_b,method_iv_b",,,,-0.58,0.29,-0.75,25,480,12000,12.0,100,1200000,exact_supported_grade_standard,bulk inventory-shortage demo line,BULK-INV-5009-L01,BULK-INV-5009,5009,2026-04-10,1,Asian Paints Nepal,open,12.0,
SYNTHETIC ORANGE OXIDE 155 (4400) 25KG DCW BOPP BAG,ORANGE,155,4400,Construction,method_iv_a,,,,-0.07,-0.26,0.24,25,600,15000,15.0,99,1485000,exact_supported_grade_standard,bulk inventory-shortage demo line,BULK-INV-5009-L02,BULK-INV-5009,5009,2026-04-10,2,Asian Paints Nepal,open,15.0,
SYNTHETIC YELLOW OXIDE 129 (6600) 25KG DCW BOPP BAG,YELLOW,129,6600,Paint/Construction,"method_i_b,method_iv_a",,,,1.09,-0.84,-0.04,25,2000,50000,50.0,84,4200000,exact_supported_grade_standard,bulk inventory-shortage demo line,BULK-INV-5010-L01,BULK-INV-5010,5010,2026-04-11,1,Sri Kartikeya Enterprises,open,50.0,
SYNTHETIC YELLOW OXIDE 129 (6600) 25KG DCW BOPP BAG,YELLOW,129,6600,Paint/Construction,method_iv_a,,,,-0.74,-0.7,0.01,25,80000,2000000,2000.0,84,168000000,exact_supported_grade_standard,bulk inventory-shortage demo line,BULK-INV-5010-L02,BULK-INV-5010,5010,2026-04-11,2,Sri Kartikeya Enterprises,open,2000.0,
SYNTHETIC YELLOW OXIDE 129 (6600) 25KG DCW BOPP BAG,YELLOW,129,6600,Paint/Construction,,,,,0.04,-0.01,0.34,25,3600,90000,90.0,84,7560000,exact_supported_grade_standard,bulk inventory-shortage demo line,BULK-INV-5011-L01,BULK-INV-5011,5011,2026-04-12,1,Sri Kartikeya Enterprises,open,90.0,
SYNTHETIC YELLOW OXIDE 129 (6600) 25KG DCW BOPP BAG,YELLOW,129,6600,Paint/Construction,method_i_b,,,,0.02,-0.84,0.91,25,4000,100000,100.0,84,8400000,exact_supported_grade_standard,bulk inventory-shortage demo line,BULK-INV-5012-L01,BULK-INV-5012,5012,2026-04-13,1,Hitershi Global,open,100.0,
SYNTHETIC YELLOW OXIDE 129 (6600) 25KG DCW BOPP BAG,YELLOW,129,6600,Paint/Construction,method_iv_a,,,,-0.74,-0.7,0.01,25,4400,110000,110.0,84,9240000,exact_supported_grade_standard,bulk inventory-shortage demo line,BULK-INV-5012-L02,BULK-INV-5012,5012,2026-04-13,2,Hitershi Global,open,110.0,
SYNTHETIC YELLOW OXIDE 129 (6600) 25KG DCW BOPP BAG,YELLOW,129,6600,Paint/Construction,method_i_a,,,,0.44,-0.61,0.28,25,8000,200000,200.0,84,16800000,exact_supported_grade_standard,bulk inventory-shortage demo line,BULK-INV-5013-L01,BULK-INV-5013,5013,2026-04-14,1,Classic Oxides,open,200.0,
SYNTHETIC YELLOW OXIDE 129 (6600) 25KG DCW BOPP BAG,YELLOW,129,6600,Paint/Construction,method_ii,,,,0.38,-0.23,0.63,25,12000,300000,300.0,84,25200000,exact_supported_grade_standard,bulk inventory-shortage demo line,BULK-INV-5014-L01,BULK-INV-5014,5014,2026-04-15,1,Kolorjet Chemicals,open,300.0,
SYNTHETIC YELLOW OXIDE 129 (6600) 25KG DCW BOPP BAG,YELLOW,129,6600,Paint/Construction,,,,,0.23,-0.96,-0.68,25,16000,400000,400.0,84,33600000,exact_supported_grade_standard,bulk inventory-shortage demo line,BULK-INV-5014-L02,BULK-INV-5014,5014,2026-04-15,2,Kolorjet Chemicals,open,400.0,
SYNTHETIC YELLOW OXIDE 129 (6600) 25KG DCW BOPP BAG,YELLOW,129,6600,Paint/Construction,method_iv_a,,,,-0.74,-0.7,0.01,25,48000,1200000,1200.0,84,100800000,exact_supported_grade_standard,bulk inventory-shortage demo line,BULK-INV-5014-L03,BULK-INV-5014,5014,2026-04-15,3,Kolorjet Chemicals,open,1200.0,
,ORANGE,ALL,4400,paint,"method_i_b,method_ii",44.77,26.87,26.8,0.02,0.33,0.05,,,,400.0,,,,,INV-4C4F6F41-L001,INV-4C4F6F41,INV-69,2026-05-15,,FINDABILITY,open,400.0,
