lot_id,lot_no,grade,standard_code,qty_mt_on_hand,color_family,source_sheet
LOT-6823N-B,6823N-B,130A,3300,5.0,RED,RED
LOT-6823N-C,6823N-C,130,3300,5.0,RED,RED
LOT-6823N-D,6823N-D,130,3300,5.0,RED,RED
LOT-6824N-A,6824N-A,130,3300,5.0,RED,RED
LOT-6826N-D,6826N-D,130,3300,5.0,RED,RED
LOT-6827N-A,6827N-A,130,3300,5.0,RED,RED
LOT-6828N-A,6828N-A,130,3300,5.0,RED,RED
LOT-6828N-C,6828N-C,130,3300,5.0,RED,RED
LOT-6828N-D,6828N-D,130,3300,5.0,RED,RED
LOT-6127A,6127A,130,3300,5.0,RED,RED
LOT-6770A,6770A,130,3300,10.0,RED,RED
LOT-6770B,6770B,130A,3300,10.0,RED,RED
LOT-6548A,6548A,130A,3300,4.0,RED,RED
LOT-6781A,6781A,130,3300,10.0,RED,RED
LOT-6781B,6781B,130,3300,2.0,RED,RED
LOT-6768A,6768A,130,3300,5.0,RED,RED
LOT-6801A,6801A,130A,3300,10.0,RED,RED
LOT-6801B,6801B,130A,3300,4.0,RED,RED
LOT-6803B,6803B,130A,3300,5.0,RED,RED
LOT-6832B,6832B,130A,3300,6.0,RED,RED
LOT-6563A,6563A,130,3300,6.0,RED,RED
LOT-6566A,6566A,130,3300,6.0,RED,RED
LOT-6887A,6887A,129,6600,10.0,YELLOW,YELLOW
LOT-6887B,6887B,129,6600,10.0,YELLOW,YELLOW
LOT-6888A,6888A,129,6600,10.0,YELLOW,YELLOW
LOT-6888B,6888B,129,6600,10.0,YELLOW,YELLOW
LOT-6889A,6889A,129,6600,10.0,YELLOW,YELLOW
LOT-6889B,6889B,129,6600,10.0,YELLOW,YELLOW
LOT-6890A,6890A,129,6600,10.0,YELLOW,YELLOW
LOT-6890B,6890B,129,6600,10.0,YELLOW,YELLOW
LOT-6901A,6901A,129,6600,10.0,YELLOW,YELLOW
LOT-6901B,6901B,129,6600,10.0,YELLOW,YELLOW
LOT-6902A,6902A,129,6600,10.0,YELLOW,YELLOW
LOT-6902B,6902B,129,6600,10.0,YELLOW,YELLOW
LOT-6903A,6903A,129,6600,10.0,YELLOW,YELLOW
LOT-6903B,6903B,129,6600,10.0,YELLOW,YELLOW
LOT-6904A,6904A,129,6600,10.0,YELLOW,YELLOW
LOT-6904B,6904B,129,6600,10.0,YELLOW,YELLOW
LOT-6905A,6905A,129,6600,10.0,YELLOW,YELLOW
LOT-6905B,6905B,129,6600,10.0,YELLOW,YELLOW
LOT-6906A,6906A,129,6600,10.0,YELLOW,YELLOW
LOT-6906B,6906B,129,6600,10.0,YELLOW,YELLOW
LOT-6907A,6907A,129,6600,10.0,YELLOW,YELLOW
LOT-6907B,6907B,129,6600,10.0,YELLOW,YELLOW
LOT-6908A,6908A,129,6600,10.0,YELLOW,YELLOW
LOT-6908B,6908B,129,6600,10.0,YELLOW,YELLOW
LOT-6909A,6909A,129,6600,10.0,YELLOW,YELLOW
LOT-6909B,6909B,129,6600,10.0,YELLOW,YELLOW
LOT-6911A,6911A,129,6600,10.0,YELLOW,YELLOW
LOT-6911B,6911B,129,6600,10.0,YELLOW,YELLOW
LOT-6912A,6912A,129,6600,10.0,YELLOW,YELLOW
LOT-6912B,6912B,129,6600,10.0,YELLOW,YELLOW
LOT-6913A,6913A,129,6600,10.0,YELLOW,YELLOW
LOT-6913B,6913B,129,6600,10.0,YELLOW,YELLOW
LOT-6914A,6914A,129,6600,10.0,YELLOW,YELLOW
LOT-6914B,6914B,129,6600,10.0,YELLOW,YELLOW
LOT-6915A,6915A,129,6600,10.0,YELLOW,YELLOW
LOT-6915B,6915B,129,6600,10.0,YELLOW,YELLOW
LOT-6916A,6916A,129,6600,10.0,YELLOW,YELLOW
LOT-6916B,6916B,129,6600,10.0,YELLOW,YELLOW
LOT-6917A,6917A,129,6600,10.0,YELLOW,YELLOW
LOT-6917B,6917B,129,6600,10.0,YELLOW,YELLOW
LOT-6918A,6918A,129,6600,10.0,YELLOW,YELLOW
LOT-6918B,6918B,129,6600,10.0,YELLOW,YELLOW
LOT-6919A,6919A,129,6600,10.0,YELLOW,YELLOW
LOT-6919B,6919B,129,6600,10.0,YELLOW,YELLOW
LOT-6921A,6921A,129,6600,10.0,YELLOW,YELLOW
LOT-6921B,6921B,129,6600,10.0,YELLOW,YELLOW
LOT-6922A,6922A,129,6600,10.0,YELLOW,YELLOW
LOT-6922B,6922B,129,6600,10.0,YELLOW,YELLOW
LOT-6923A,6923A,129,6600,10.0,YELLOW,YELLOW
LOT-6923B,6923B,129,6600,10.0,YELLOW,YELLOW
LOT-6924A,6924A,129,6600,10.0,YELLOW,YELLOW
LOT-6924B,6924B,129,6600,10.0,YELLOW,YELLOW
LOT-6925A,6925A,129,6600,10.0,YELLOW,YELLOW
LOT-6925B,6925B,129,6600,10.0,YELLOW,YELLOW
LOT-6926A,6926A,129,6600,10.0,YELLOW,YELLOW
LOT-6926B,6926B,129,6600,10.0,YELLOW,YELLOW
LOT-6927A,6927A,129,6600,10.0,YELLOW,YELLOW
LOT-6927B,6927B,129,6600,10.0,YELLOW,YELLOW
LOT-6928A,6928A,129,6600,10.0,YELLOW,YELLOW
LOT-6928B,6928B,129,6600,10.0,YELLOW,YELLOW
LOT-6929A,6929A,129,6600,10.0,YELLOW,YELLOW
LOT-6929B,6929B,129,6600,10.0,YELLOW,YELLOW
LOT-6931A,6931A,129,6600,10.0,YELLOW,YELLOW
LOT-6931B,6931B,129,6600,10.0,YELLOW,YELLOW
LOT-6932A,6932A,129,6600,10.0,YELLOW,YELLOW
LOT-6932B,6932B,129,6600,10.0,YELLOW,YELLOW
LOT-6933A,6933A,129,6600,10.0,YELLOW,YELLOW
LOT-6933B,6933B,129,6600,10.0,YELLOW,YELLOW
LOT-6934A,6934A,129,6600,10.0,YELLOW,YELLOW
LOT-6934B,6934B,129,6600,10.0,YELLOW,YELLOW
LOT-6935A,6935A,129,6600,10.0,YELLOW,YELLOW
LOT-6935B,6935B,129,6600,10.0,YELLOW,YELLOW
LOT-6936A,6936A,129,6600,10.0,YELLOW,YELLOW
LOT-6936B,6936B,129,6600,10.0,YELLOW,YELLOW
LOT-6937A,6937A,129,6600,10.0,YELLOW,YELLOW
LOT-6937B,6937B,129,6600,10.0,YELLOW,YELLOW
LOT-6938A,6938A,129,6600,10.0,YELLOW,YELLOW
LOT-6938B,6938B,129,6600,10.0,YELLOW,YELLOW
LOT-6939A,6939A,129,6600,10.0,YELLOW,YELLOW
LOT-6939B,6939B,129,6600,10.0,YELLOW,YELLOW
LOT-6941A,6941A,129,6600,10.0,YELLOW,YELLOW
LOT-6941B,6941B,129,6600,10.0,YELLOW,YELLOW
LOT-6942A,6942A,129,6600,10.0,YELLOW,YELLOW
LOT-6942B,6942B,129,6600,10.0,YELLOW,YELLOW
LOT-6943A,6943A,129,6600,10.0,YELLOW,YELLOW
LOT-6943B,6943B,129,6600,10.0,YELLOW,YELLOW
LOT-6944A,6944A,129,6600,10.0,YELLOW,YELLOW
LOT-6944B,6944B,129,6600,10.0,YELLOW,YELLOW
LOT-6945A,6945A,129,6600,10.0,YELLOW,YELLOW
LOT-6945B,6945B,129,6600,10.0,YELLOW,YELLOW
LOT-6946A,6946A,129,6600,10.0,YELLOW,YELLOW
LOT-6946B,6946B,129,6600,10.0,YELLOW,YELLOW
LOT-6947A,6947A,129,6600,10.0,YELLOW,YELLOW
LOT-6947B,6947B,129,6600,10.0,YELLOW,YELLOW
LOT-6948A,6948A,129,6600,10.0,YELLOW,YELLOW
LOT-6948B,6948B,129,6600,10.0,YELLOW,YELLOW
LOT-6949A,6949A,129,6600,10.0,YELLOW,YELLOW
LOT-6949B,6949B,129,6600,10.0,YELLOW,YELLOW
LOT-6951A,6951A,129,6600,10.0,YELLOW,YELLOW
LOT-6951B,6951B,129,6600,10.0,YELLOW,YELLOW
LOT-6952A,6952A,129,6600,10.0,YELLOW,YELLOW
LOT-6952B,6952B,129,6600,10.0,YELLOW,YELLOW
LOT-6953A,6953A,129,6600,10.0,YELLOW,YELLOW
LOT-6953B,6953B,129,6600,10.0,YELLOW,YELLOW
LOT-6954A,6954A,129,6600,10.0,YELLOW,YELLOW
LOT-6954B,6954B,129,6600,10.0,YELLOW,YELLOW
LOT-6955A,6955A,129,6600,10.0,YELLOW,YELLOW
LOT-6955B,6955B,129,6600,10.0,YELLOW,YELLOW
LOT-6956A,6956A,129,6600,10.0,YELLOW,YELLOW
LOT-6956B,6956B,129,6600,10.0,YELLOW,YELLOW
LOT-6957A,6957A,129,6600,10.0,YELLOW,YELLOW
LOT-6957B,6957B,129,6600,10.0,YELLOW,YELLOW
LOT-6958A,6958A,129,6600,10.0,YELLOW,YELLOW
LOT-6958B,6958B,129,6600,10.0,YELLOW,YELLOW
LOT-6959A,6959A,129,6600,10.0,YELLOW,YELLOW
LOT-6959B,6959B,129,6600,10.0,YELLOW,YELLOW
LOT-6960A,6960A,129,6600,10.0,YELLOW,YELLOW
LOT-6960B,6960B,129,6600,10.0,YELLOW,YELLOW
LOT-O7401A,O7401A,150,4400,8.0,ORANGE,ORANGE
LOT-O7401B,O7401B,150,4400,6.0,ORANGE,ORANGE
LOT-O7402A,O7402A,150,4400,10.0,ORANGE,ORANGE
LOT-O7402B,O7402B,150,4400,5.0,ORANGE,ORANGE
LOT-O7403A,O7403A,150,4400,7.0,ORANGE,ORANGE
LOT-O7403B,O7403B,150,4400,9.0,ORANGE,ORANGE
LOT-O7404A,O7404A,150,4400,4.0,ORANGE,ORANGE
LOT-O7404B,O7404B,150,4400,10.0,ORANGE,ORANGE
LOT-O7405A,O7405A,150,4400,6.0,ORANGE,ORANGE
LOT-O7405B,O7405B,150,4400,8.0,ORANGE,ORANGE
LOT-O7406A,O7406A,150,4400,5.0,ORANGE,ORANGE
LOT-O7406B,O7406B,150,4400,7.0,ORANGE,ORANGE
LOT-O7407A,O7407A,155,4400,9.0,ORANGE,ORANGE
LOT-O7407B,O7407B,155,4400,6.0,ORANGE,ORANGE
LOT-O7408A,O7408A,155,4400,10.0,ORANGE,ORANGE
LOT-O7408B,O7408B,155,4400,4.0,ORANGE,ORANGE
LOT-O7409A,O7409A,155,4400,8.0,ORANGE,ORANGE
LOT-O7409B,O7409B,155,4400,5.0,ORANGE,ORANGE
LOT-O7410A,O7410A,155,4400,7.0,ORANGE,ORANGE
LOT-O7410B,O7410B,155,4400,6.0,ORANGE,ORANGE
